Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"CA","Ontario","M","9","R","145","24","146","2","Walk","30","0.562","44","Other activities/sports","1000","1000","1000","1000","278","225",
"CA","Ontario","F","12","R","130","22","129","1","Walk","20","0.453","38","Basketball","963","882","936","930","957","947",
"UK","North West","M","14","R","160","30","152","1","Walk","30","0","23","Athletics","701","758","1000","1000","1000","1000",
"CA","Alberta","F","14","R","159","22","157","2","Car","5","0.282","23","Athletics","1000","1000","1000","1000","32","37",
"USA","NM","F","17","R","167","25","177","2","Car","15","0.313","34","Football/Soccer","503","481","476","","262","59",
"USA","NC","F","13","R","177","23","175","2","Bus","45","0.337","0","Swimming","1000","251","642","1000","1000","1000",
"UK","South","M","13","R","166","29","152","1","Bus","7","0.4","29","Hockey (Field)","586","489","275","500","705","783",
"NZ","Auckland","M","12","R","150","28","150","1","Car","5","0.359","0","Martial Arts","250","","250","","","",
"CA","British Columbia","F","14","R","161","24","160","3","Car","2","0.33","32","Martial Arts","893","813","957","856","1000","1000",
"OZ","New South Wales","M","10","R","147","23","144","1","Walk","1","0.36","26","Tennis","210","390","1000","1000","127","707",
"OZ","South OZ","F","15","L","154","21","184","2","Bus","127","0.32","32","Tennis","332","385","663","521","438","338",
"CA","Ontario","F","13","B","160","26","174","3","Walk","8","0.43","30","Dancing","797","733","872","1000","1000","957",
"OZ","New South Wales","F","12","R","150","24","150","1","Rail","30","0.32","35","Dancing","545","492","758","846","870","876",
"NZ","Auckland","M","11","L","131","20","134","1","Walk","5","0.422","0","Football/Soccer","500","","1000","","","",
"USA","PA","F","16","R","159","22","166","1","Bus","8","0.43","53","Hockey (Field)","406","144","230","332","829","941",
"UK","South","M","14","R","164","23","166","1","Walk","10","0.35","34","Football/Soccer","1000","993","1000","1000","157","170",
"OZ","Queensland","M","14","R","179","28","176","1","Bus","40","0.34","26","Rugby League","628","409","764","799","687","681",
"USA","NY","M","10","R","139","23","137","1","Bus","16","0.75","0","Hockey (Ice)","144","947","460","","968","950",
"NZ","Auckland","M","13","R","171","29","177","2","Car","5","0","0","Football/Soccer","250","","500","","","",
"OZ","Western OZ","F","15","R","170","24","165","1","Car","5","0.28","39","Other activities/sports","1000","1000","1000","1000","799","1000",
"NZ","Auckland","M","14","L","174","26","173","1","Walk","15","0.391","0","Hockey (Field)","500","","250","","","",
"OZ","South OZ","F","14","R","159","24","162","1","Car","30","0.26","33","Netball","628","308","734","279","1000","1000",
"CA","Alberta","M","13","R","156","24","156","1","Walk","7","0.25","41","Skateboarding/Rollerblading","471","476","401","524","1000","1000",
"NZ","Waikato","F","15","R","166","30","157","2","Bus","15","0.297","0","Basketball","250","","250","","","",
"OZ","Victoria","F","16","R","164","24","162","1","Car","2","0.31","28","Walking/Hiking","527","338","350","373","273","421",
"UK","North West","F","14","R","167","30","163","1","Bus","20","0.4","40","Basketball","306","371","586","324","626","718",
"NZ","Auckland","F","11","R","162","21","161","1","Bus","25","0.742","0","Hockey (Field)","500","","750","","","",
"CA","Ontario","F","13","R","153","24","148","1","Walk","10","0.402","57","Baseball/Softball","439","374","380","449","610","620",
"USA","MI","F","17","B","163","22","132","1","Car","12","0.27","31","Other","738","1000","588","","","",
"OZ","Western OZ","F","13","R","152","22","147","1","Bus","60","0.45","34","Swimming","671","1000","653","833","312","480",
"OZ","South OZ","F","14","R","168","28","177","2","Car","15","0.31","34","Martial Arts","1000","1000","1000","1000","521","515",
"OZ","Victoria","F","15","B","175","13","100","1","Walk","2","0.84","52","Dancing","710","734","657","533","409","539",
"UK","London","M","16","R","184","29","176","2","Bus","60","0.45","68","Football/Soccer","839","653","567","839","962","955",
